DT_DATA,NR_ANO,NR_MES,NM_MES,NR_DIA,NR_DIA_SEMANA,NM_DIA_SEMANA,FLG_FINAL_SEMANA,FLG_FERIADO
2010-02-18,2010,2,February,18,5,Thursday,false,false
2010-04-25,2010,4,April,25,1,Sunday,true,false
2010-07-03,2010,7,July,3,7,Saturday,true,false
2010-07-04,2010,7,July,4,1,Sunday,true,false
2010-07-07,2010,7,July,7,4,Wednesday,false,false
2010-08-14,2010,8,August,14,7,Saturday,true,false
2010-10-05,2010,10,October,5,3,Tuesday,false,false
2010-10-19,2010,10,October,19,3,Tuesday,false,false
2010-10-26,2010,10,October,26,3,Tuesday,false,false
2010-10-29,2010,10,October,29,6,Friday,false,false
2011-01-09,2011,1,January,9,1,Sunday,true,false
2011-02-03,2011,2,February,3,5,Thursday,false,false
2011-03-22,2011,3,March,22,3,Tuesday,false,false
2011-06-22,2011,6,June,22,4,Wednesday,false,false
2011-06-27,2011,6,June,27,2,Monday,false,false
2011-07-27,2011,7,July,27,4,Wednesday,false,false
2011-08-14,2011,8,August,14,1,Sunday,true,false
2011-08-28,2011,8,August,28,1,Sunday,true,false
2012-01-18,2012,1,January,18,4,Wednesday,false,false
2012-03-07,2012,3,March,7,4,Wednesday,false,false
2012-04-20,2012,4,April,20,6,Friday,false,false
2012-04-24,2012,4,April,24,3,Tuesday,false,false
2012-07-16,2012,7,July,16,2,Monday,false,false
2012-08-03,2012,8,August,3,6,Friday,false,false
2012-11-27,2012,11,November,27,3,Tuesday,false,false
2012-12-25,2012,12,December,25,3,Tuesday,false,true
2013-03-21,2013,3,March,21,5,Thursday,false,false
2013-06-01,2013,6,June,1,7,Saturday,true,false
2013-08-06,2013,8,August,6,3,Tuesday,false,false
2013-11-06,2013,11,November,6,4,Wednesday,false,false
2013-12-07,2013,12,December,7,7,Saturday,true,false
2014-03-16,2014,3,March,16,1,Sunday,true,false
2014-03-24,2014,3,March,24,2,Monday,false,false
2014-04-11,2014,4,April,11,6,Friday,false,false
2014-06-18,2014,6,June,18,4,Wednesday,false,false
2014-08-14,2014,8,August,14,5,Thursday,false,false
2014-10-07,2014,10,October,7,3,Tuesday,false,false
2014-12-14,2014,12,December,14,1,Sunday,true,false
2015-02-18,2015,2,February,18,4,Wednesday,false,false
2015-04-25,2015,4,April,25,7,Saturday,true,false
2015-06-04,2015,6,June,4,5,Thursday,false,false
2015-08-15,2015,8,August,15,7,Saturday,true,false
2015-09-03,2015,9,September,3,5,Thursday,false,false
2015-11-30,2015,11,November,30,2,Monday,false,false
2016-01-10,2016,1,January,10,1,Sunday,true,false
2016-05-20,2016,5,May,20,6,Friday,false,false
2016-06-28,2016,6,June,28,3,Tuesday,false,false
2016-09-03,2016,9,September,3,7,Saturday,true,false
2016-10-01,2016,10,October,1,7,Saturday,true,false
2016-10-24,2016,10,October,24,2,Monday,false,false
2017-01-17,2017,1,January,17,3,Tuesday,false,false
2017-01-23,2017,1,January,23,2,Monday,false,false
2017-06-28,2017,6,June,28,4,Wednesday,false,false
2017-07-24,2017,7,July,24,2,Monday,false,false
2017-12-28,2017,12,December,28,5,Thursday,false,false
2018-03-21,2018,3,March,21,4,Wednesday,false,false
2018-04-30,2018,4,April,30,2,Monday,false,false
2018-05-03,2018,5,May,3,5,Thursday,false,false
2018-05-06,2018,5,May,6,1,Sunday,true,false
2018-05-29,2018,5,May,29,3,Tuesday,false,false
2018-06-29,2018,6,June,29,6,Friday,false,false
2018-08-04,2018,8,August,4,7,Saturday,true,false
2018-12-08,2018,12,December,8,7,Saturday,true,false
2019-03-12,2019,3,March,12,3,Tuesday,false,false
2019-03-18,2019,3,March,18,2,Monday,false,false
2019-05-22,2019,5,May,22,4,Wednesday,false,false
2019-10-29,2019,10,October,29,3,Tuesday,false,false
